INFO 2025-07-27 09:02:53,489 autoreload 18092 7720 Watching for file changes with StatReloader
INFO 2025-07-27 09:04:42,540 basehttp 18092 17512 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
INFO 2025-07-27 09:04:43,328 basehttp 18092 1956 "GET /media/company_profiles/photo_2025-03-08_08-53-56_eOuUWmH.jpg HTTP/1.1" 200 66739
INFO 2025-07-27 09:04:45,959 basehttp 18092 17512 "GET /api/accounts/profile/ HTTP/1.1" 200 234
WARNING 2025-07-27 09:05:37,947 log 18092 8212 Unauthorized: /api/accounts/profile/
WARNING 2025-07-27 09:05:37,951 basehttp 18092 8212 "GET /api/accounts/profile/ HTTP/1.1" 401 58
WARNING 2025-07-27 09:05:51,827 log 18092 24316 Unauthorized: /api/accounts/profile/
WARNING 2025-07-27 09:05:51,827 basehttp 18092 24316 "GET /api/accounts/profile/ HTTP/1.1" 401 58
WARNING 2025-07-27 09:05:51,838 log 18092 24316 Unauthorized: /api/accounts/profile/
WARNING 2025-07-27 09:05:51,839 basehttp 18092 24316 "GET /api/accounts/profile/ HTTP/1.1" 401 58
WARNING 2025-07-27 09:05:54,320 log 18092 4236 Unauthorized: /api/accounts/profile/
WARNING 2025-07-27 09:05:54,321 basehttp 18092 4236 "GET /api/accounts/profile/ HTTP/1.1" 401 58
WARNING 2025-07-27 09:05:54,328 log 18092 4236 Unauthorized: /api/accounts/profile/
WARNING 2025-07-27 09:05:54,328 basehttp 18092 4236 "GET /api/accounts/profile/ HTTP/1.1" 401 58
INFO 2025-07-27 09:07:00,053 basehttp 18092 25344 "OPTIONS /api/accounts/auth/login/ HTTP/1.1" 200 0
INFO 2025-07-27 09:07:00,728 basehttp 18092 25344 "POST /api/accounts/auth/login/ HTTP/1.1" 200 652
INFO 2025-07-27 09:07:02,757 basehttp 18092 3680 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
INFO 2025-07-27 09:07:02,760 basehttp 18092 7856 "OPTIONS /api/accounts/profile/ HTTP/1.1" 200 0
INFO 2025-07-27 09:07:02,789 basehttp 18092 7856 "GET /api/accounts/profile/ HTTP/1.1" 200 234
